code	ds_type	idx	max_v	min_v	name	node	node_id	node_idx	price
3779319578102857728	demand	60	0.0	0.0	A00000094	A00000095	603	3779318280867545088	12018.35
3779319579965128704	demand	61	0.0	0.0	A00000096	A00000097	601	3779318280850767872	12018.35
3779319579969323008	demand	62	0.0	0.0	A00000098	A00000097	601	3779318280850767872	12018.35
3779319579969323009	demand	63	11.50642	11.50642	A00000099	A00000097	601	3779318280850767872	10550.46
3779319582141972480	demand	64	5.607692	5.607692	A00000100	A00000101	610	3779318280909488128	12018.35
3779319582146166784	demand	65	0.0	0.0	A00000102	A00000101	610	3779318280909488128	12018.35
3779319585199620096	demand	66	107.706	107.706	A00000103	A00000104	612	3779318280926265344	12018.35
3779319585203814400	demand	67	0.0	0.0	A00000105	A00000104	612	3779318280926265344	12018.35
3779319587183525888	demand	68	0.304553	0.304553	A00000106	A00000107	614	3779318280938848256	12018.35
3779319590304088064	demand	69	0.0	0.0	A00000108	A00000109	613	3779318280930459648	12018.35
3779319590308282368	demand	70	559.3014	559.3014	A00000110	A00000109	613	3779318280930459648	12018.35
3779319590308282369	demand	71	0.0	0.0	A00000111	A00000109	613	3779318280930459648	12018.35
3779319591939866624	demand	72	0.0	0.0	A00000112	A00000113	617	3779318280955625472	12018.35
3779319594846519296	demand	73	0.0	0.0	A00000114	A00000115	619	3779318280968208384	12018.35
3779319596541018112	demand	74	1.7483830000000002	1.7483830000000002	A00000116	A00000117	615	3779318280943042560	12018.35
3779319598155825152	demand	75	14.2265	14.2265	A00000118	A00000119	620	3779318280976596992	12018.35
3779319599732883456	demand	76	0.041712	0.041712	A00000120	A00000121	624	3779318281001762816	12018.35
3779319601607737344	demand	77	0.0	0.0	A00000122	A00000123	374	3779318279294681088	12018.35
3779319601607737345	demand	78	14.913479999999998	14.913479999999998	A00000124	A00000123	374	3779318279294681088	12018.35
3779319603256098816	demand	79	27.957629999999998	27.957629999999998	A00000125	A00000126	61	3779318277172363264	12018.35
3779319605789458432	demand	80	0.0	0.0	A00000127	A00000128	65	3779318277201723392	12018.35
3779319605789458433	demand	81	10.00226	10.00226	A00000129	A00000128	65	3779318277201723392	12018.35
3779319607622369280	demand	82	0.0	0.0	A00000130	A00000131	69	3779318277226889216	12018.35
3779319609715326976	demand	83	14.0198	14.0198	A00000132	A00000133	76	3779318277268832256	12018.35
3779319611112030208	demand	84	0.0	0.0	A00000134	A00000135	63	3779318277189140480	12018.35
3779319612479373312	demand	85	1.346162	1.346162	A00000136	A00000137	476	3779318279990935552	12018.35
3779319613863493632	demand	86	2.142642	2.142642	A00000138	A00000139	478	3779318280003518464	12018.35
3779319615256002560	demand	87	0.0	0.0	A00000140	A00000141	481	3779318280024489984	12018.35
3779319620893147136	demand	91	2.834878	2.834878	A00000147	A00000148	536	3779318280418754560	12018.35
