code	ds_type	idx	max_v	min_v	name	node	node_id	node_idx	price
3779320553337257985	demand	752	0.0	0.0	A00001191	A00001184	530	3779318280381005824	14036.7
3779320553337257986	demand	753	0.0	0.0	A00001192	A00001184	530	3779318280381005824	14036.7
3779320553341452288	demand	754	110.3238	110.3238	A00001193	A00001184	530	3779318280381005824	14587.16
3779320553341452289	demand	755	0.0	0.0	A00001194	A00001184	530	3779318280381005824	14587.16
3779320553345646592	demand	756	1373.588	1373.588	A00001195	A00001184	530	3779318280381005824	13944.95
3779320553345646593	demand	757	0.0	0.0	A00001196	A00001184	530	3779318280381005824	13944.95
3779320553349840896	demand	758	0.0	0.0	A00001197	A00001184	530	3779318280381005824	13944.95
3779320553349840897	demand	759	0.0	0.0	A00001198	A00001184	530	3779318280381005824	13944.95
3779320553349840898	demand	760	0.0	0.0	A00001199	A00001184	530	3779318280381005824	13944.95
3779320553354035200	demand	761	0.0	0.0	A00001200	A00001184	530	3779318280381005824	13944.95
3779320553354035201	demand	762	0.0	0.0	A00001201	A00001184	530	3779318280381005824	13944.95
3779319466597285888	demand	827	734.677	734.677	A00001255	A00001184	530	3779318280381005824	11110.0
3779319466597285889	demand	828	0.0	0.0	A00001256	A00001184	530	3779318280381005824	11110.0
3779319466597285890	demand	829	0.0	0.0	A00001257	A00001184	530	3779318280381005824	11110.0
3779319466601480192	demand	830	0.0	0.0	A00001258	A00001184	530	3779318280381005824	11110.0
3779319466601480193	demand	831	0.0	0.0	A00001259	A00001184	530	3779318280381005824	11110.0
3779319466601480194	demand	832	0.0	0.0	A00001260	A00001184	530	3779318280381005824	11110.0
3779319466605674496	demand	833	0.0	0.0	A00001261	A00001184	530	3779318280381005824	11110.0
3779319466605674497	demand	834	220.32299999999998	220.32299999999998	A00001262	A00001184	530	3779318280381005824	11110.0
3779319466605674498	demand	835	0.0	0.0	A00001263	A00001184	530	3779318280381005824	11110.0
3779319466609868800	demand	836	0.0	0.0	A00001264	A00001184	530	3779318280381005824	11110.0
3779319466609868801	demand	837	0.0	0.0	A00001265	A00001184	530	3779318280381005824	11110.0
3779319475262717952	demand	838	24.0	24.0	A00001266	A00001267	635	3779318281077260288	11110.0
3779319475262717953	demand	839	12.0	12.0	A00001268	A00001267	635	3779318281077260288	16880.73
3779319475266912256	demand	840	0.0	0.0	A00001269	A00001267	635	3779318281077260288	16880.73
3779319475266912257	demand	841	0.0	0.0	A00001270	A00001267	635	3779318281077260288	16880.73
3779319475266912258	demand	842	0.0	0.0	A00001271	A00001267	635	3779318281077260288	17064.22
3779319475271106560	demand	843	0.0	0.0	A00001272	A00001267	635	3779318281077260288	17064.22
3779319475271106561	demand	844	0.0	0.0	A00001273	A00001267	635	3779318281077260288	17064.22
3779319475271106562	demand	845	0.0	0.0	A00001274	A00001267	635	3779318281077260288	17064.22
3779319490995552256	demand	846	165.0	165.0	A00001275	A00001276	634	3779318281073065984	11110.0
3779319490999746560	demand	847	69.83870999999999	69.83870999999999	A00001277	A00001276	634	3779318281073065984	9449.541
3779319490999746561	demand	848	0.0	0.0	A00001278	A00001276	634	3779318281073065984	0.0
3779319490999746562	demand	849	0.0	0.0	A00001279	A00001276	634	3779318281073065984	0.0
3779319491003940864	demand	850	0.0	0.0	A00001280	A00001276	634	3779318281073065984	0.0
3779319491003940865	demand	851	0.0	0.0	A00001281	A00001276	634	3779318281073065984	0.0
3779320550845841408	demand	852	27.0	27.0	A00001282	A00001283	633	3779318281064677376	9449.541
3779320550845841409	demand	853	0.0	0.0	A00001284	A00001283	633	3779318281064677376	9449.541
3779320550845841410	demand	854	0.0	0.0	A00001285	A00001283	633	3779318281064677376	9449.541
3779320550850035712	demand	855	0.0	0.0	A00001286	A00001283	633	3779318281064677376	9449.541
3779320550850035713	demand	856	0.0	0.0	A00001287	A00001283	633	3779318281064677376	9449.541
3779319470678343680	demand	857	30.0	30.0	A00001288	A00001289	631	3779318281052094464	11110.0
3779319470682537984	demand	858	18.75207	18.75207	A00001290	A00001289	631	3779318281052094464	16880.73
3779319470682537985	demand	859	0.0	0.0	A00001291	A00001289	631	3779318281052094464	16880.73
3779319470682537986	demand	860	73.24793000000001	73.24793000000001	A00001292	A00001289	631	3779318281052094464	17064.22
3779319470686732288	demand	861	0.0	0.0	A00001293	A00001289	631	3779318281052094464	17064.22
3779319470686732289	demand	862	0.0	0.0	A00001294	A00001289	631	3779318281052094464	17064.22
3779319470686732290	demand	863	0.0	0.0	A00001295	A00001289	631	3779318281052094464	17064.22
3779319470690926592	demand	864	0.0	0.0	A00001296	A00001289	631	3779318281052094464	17064.22
3779320544478887936	demand	865	16.0	16.0	A00001297	A00001298	629	3779318281039511552	16880.73
3779320544478887937	demand	866	0.0	0.0	A00001299	A00001298	629	3779318281039511552	16880.73
3779320544478887938	demand	867	0.0	0.0	A00001300	A00001298	629	3779318281039511552	16880.73
3779320544483082240	demand	868	0.0	0.0	A00001301	A00001298	629	3779318281039511552	16880.73
3779319473756962816	demand	875	67.41935500000001	67.41935500000001	A00001309	A00001310	632	3779318281060483072	11110.0
3779319473761157120	demand	876	10.0	10.0	A00001311	A00001310	632	3779318281060483072	16880.73
3779319489338802176	demand	877	24.516129	24.516129	A00001312	A00001313	636	3779318281085648896	11110.0
3779319494720094208	demand	880	58.3	58.3	A00001317	A00001184	530	3779318280381005824	11110.0
3779318281224060928	supply	928	5278.580645	5278.580645	A00001431	A00001184	530	3779318280381005824	8400.0
3779318281203089408	supply	929	36.0	36.0	A00001432	A00001267	635	3779318281077260288	32720.0
3779318281211478016	supply	930	234.83871000000002	234.83871000000002	A00001433	A00001276	634	3779318281073065984	23400.0
3779318281219866624	supply	931	27.0	27.0	A00001434	A00001283	633	3779318281064677376	25910.0
3779318281194700800	supply	932	122.0	122.0	A00001435	A00001289	631	3779318281052094464	13100.0
3779318281177923584	supply	933	16.0	16.0	A00001436	A00001298	629	3779318281039511552	27300.0
3779318281291169792	supply	935	47.0	47.0	A00001438	A00001184	530	3779318280381005824	12600.0
3779318281186312192	supply	936	77.41935500000001	77.41935500000001	A00001439	A00001310	632	3779318281060483072	17430.0
3779318281198895104	supply	937	0.0	0.0	A00001440	A00001441	630	3779318281047900160	5264.1
3779318281257615360	supply	938	24.516129	24.516129	A00001442	A00001313	636	3779318281085648896	13040.0
3779318281282781184	supply	941	362.290323	362.290323	A00001445	A00001184	530	3779318280381005824	12600.0
3779318281278586880	supply	942	29.677419	29.677419	A00001446	A00001184	530	3779318280381005824	14070.0
3779318281232449536	supply	944	2474.193548	2474.193548	A00001449	A00001184	530	3779318280381005824	12600.0
3779318283497373696	supply	948	0.0	0.0	A00001454	A00001184	530	3779318280381005824	0.0
3779318283501568000	supply	949	0.0	0.0	A00001455	A00001456	552	3779318280532000768	0.0
3779318283484790784	supply	961	1150.0	1150.0	A00001470	A00001150	514	3779318280267759616	23593.0
3779318283484790785	supply	962	0.0	0.0	A00001471	A00001150	514	3779318280267759616	23593.0
CQK00007	demand	991	700.0	700.0	A00001499	A00001184	530	3779318280381005824	443.0
CQK00011	demand	992	25.0	25.0	A00001500	A00001184	530	3779318280381005824	443.0
dummy_d_1	demand	dummy_1	704.688	469.79200000000003	dummy_d_1	dummy_1	dummy_1	dummy_1	0.0
dummy_d_2	demand	dummy_2	3244.044	2162.696	dummy_d_2	dummy_2	dummy_2	dummy_2	0.0
