code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319585203814400	demand	0.0	0.0	A00000105	A00000104	3779318280926265344	12018.35	0	67	612	XSXB0002	10005		CS000001	ZDGN0217	PROV0015	2.0	null	null	null
3779319587183525888	demand	0.304553	0.304553	A00000106	A00000107	3779318280938848256	12018.35	0	68	614	XSXB0002	10002		CS000001	ZDGN0218	PROV0015	2.0	null	null	null
3779319590304088064	demand	0.0	0.0	A00000108	A00000109	3779318280930459648	12018.35	0	69	613	XSXB0002	10007		CS000001	ZDGN0219	PROV0015	2.0	null	null	null
3779319590308282368	demand	559.3014	559.3014	A00000110	A00000109	3779318280930459648	12018.35	0	70	613	XSXB0002	10001		CS000001	ZDGN0219	PROV0015	2.0	null	null	null
3779319590308282369	demand	0.0	0.0	A00000111	A00000109	3779318280930459648	12018.35	0	71	613	XSXB0002	10002		CS000001	ZDGN0219	PROV0015	2.0	null	null	null
3779319591939866624	demand	0.0	0.0	A00000112	A00000113	3779318280955625472	12018.35	0	72	617	XSXB0002	10001		CS000001	ZDGN0220	PROV0015	2.0	null	null	null
3779319594846519296	demand	0.0	0.0	A00000114	A00000115	3779318280968208384	12018.35	0	73	619	XSXB0002	10001		CS000001	ZDGN0222	PROV0015	2.0	null	null	null
3779319596541018112	demand	1.748383	1.748383	A00000116	A00000117	3779318280943042560	12018.35	0	74	615	XSXB0002	10001		CS000001	ZDGN0223	PROV0015	2.0	null	null	null
3779319598155825152	demand	14.2265	14.2265	A00000118	A00000119	3779318280976596992	12018.35	0	75	620	XSXB0002	10001		CS000001	ZDGN0227	PROV0015	2.0	null	null	null
3779319599732883456	demand	0.041712	0.041712	A00000120	A00000121	3779318281001762816	12018.35	0	76	624	XSXB0002	10001		CS000001	ZDGN0228	PROV0015	2.0	null	null	null
