name	code	has_compressor	comp_ratio	pressure_upper	pressure_lower	lowest_temp	highest_temp	elevation	A00001516	A00001517	sub_division	valve	idx
A00000932	3779318278460014592		1.4	6.0	2.5	0.0	20.0	150.0	A00002146	A00002147	0		252
A00000912	3779318278468403200		1.4	9.85	4.0	0.0	20.0	366.0	A00002148	A00002149	0		253
A00000910	3779318278472597504		1.4	9.85	4.0	0.0	20.0	207.0	A00002150	A00002151	0		254
A00000939	3779318278480986112		1.4	6.0	2.5	0.0	20.0	154.0	A00002152	A00002153	0		255
A00000942	3779318278485180416		1.4	6.0	2.5	0.0	20.0	154.0	A00002154	A00002155	0		256
A00000944	3779318278493569024		1.4	6.0	2.5	0.0	20.0	154.0	A00002156	A00002157	0		257
A00002158	3779318278497763328		1.4	6.0	2.5	0.0	20.0	154.0	A00002159	A00002160	0		258
A00002161	3779318278506151936		1.4	6.0	2.5	0.0	20.0	154.0	A00002162	A00002163	0		259
A00002164	3779318278510346240		1.4	6.0	2.5	0.0	20.0	154.0	A00002165	A00002166	0		260
A00002167	3779318278518734848		1.4	6.0	2.5	0.0	20.0	154.0	A00002168	A00002169	0		261
A00000947	3779318278527123456		1.4	6.0	2.5	0.0	20.0	154.0	A00002170	A00002171	0		262
